Date : 2020-07-25 23:24:16
Directory : /home/raphael/Projects/dopamine
Total : 165 files,  20366 codes, 521 comments, 1094 blanks, all 21981 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| /home/raphael/Projects/dopamine/src/app/core/base/file-formats.ts                                                 | TypeScript   |          6 |          2 |          2 |         10 |
| /home/raphael/Projects/dopamine/src/app/core/base/font-size.ts                                                    | TypeScript   |          6 |          0 |          2 |          8 |
| /home/raphael/Projects/dopamine/src/app/core/base/language.ts                                                     | TypeScript   |          4 |          0 |          1 |          5 |
| /home/raphael/Projects/dopamine/src/app/core/base/product-information.ts                                          | TypeScript   |          5 |          0 |          1 |          6 |
| /home/raphael/Projects/dopamine/src/app/core/date-time.ts                                                         | TypeScript   |          8 |         11 |          4 |         23 |
| /home/raphael/Projects/dopamine/src/app/core/io/desktop.ts                                                        | TypeScript   |         14 |          0 |          5 |         19 |
| /home/raphael/Projects/dopamine/src/app/core/io/file-system.ts                                                    | TypeScript   |         44 |          0 |         14 |         58 |
| /home/raphael/Projects/dopamine/src/app/core/logger.ts                                                            | TypeScript   |         20 |          0 |          6 |         26 |
| /home/raphael/Projects/dopamine/src/app/core/scheduling.ts                                                        | TypeScript   |          5 |          0 |          1 |          6 |
| /home/raphael/Projects/dopamine/src/app/core/settings/base-settings.ts                                            | TypeScript   |         10 |          0 |          1 |         11 |
| /home/raphael/Projects/dopamine/src/app/core/settings/settings.ts                                                 | TypeScript   |         85 |          9 |         25 |        119 |
| /home/raphael/Projects/dopamine/src/app/core/timer.ts                                                             | TypeScript   |         14 |          0 |          5 |         19 |
| /home/raphael/Projects/dopamine/src/app/data/base-database-migrator.ts                                            | TypeScript   |          3 |          0 |          1 |          4 |
| /home/raphael/Projects/dopamine/src/app/data/database-factory.ts                                                  | TypeScript   |         16 |          0 |          4 |         20 |
| /home/raphael/Projects/dopamine/src/app/data/database-migrator.ts                                                 | TypeScript   |         81 |          0 |         22 |        103 |
| /home/raphael/Projects/dopamine/src/app/data/entities/folder.ts                                                   | TypeScript   |          6 |          0 |          2 |          8 |
| /home/raphael/Projects/dopamine/src/app/data/entities/track.ts                                                    | TypeScript   |         36 |          0 |          2 |         38 |
| /home/raphael/Projects/dopamine/src/app/data/migration.ts                                                         | TypeScript   |         10 |          0 |          2 |         12 |
| /home/raphael/Projects/dopamine/src/app/data/migrations/001-initial.ts                                            | TypeScript   |         95 |          0 |         12 |        107 |
| /home/raphael/Projects/dopamine/src/app/data/repositories/base-folder-repository.ts                               | TypeScript   |          7 |          0 |          2 |          9 |
| /home/raphael/Projects/dopamine/src/app/data/repositories/base-track-repository.ts                                | TypeScript   |         10 |          0 |          2 |         12 |
| /home/raphael/Projects/dopamine/src/app/data/repositories/folder-repository.ts                                    | TypeScript   |         39 |          0 |         15 |         54 |
