"filename", "language", "JSON", "Markdown", "TypeScript", "YAML", "HTML", "SCSS", "XML", "Shell Script", "comment", "blank", "total"
"/home/raphael/Projects/dopamine/src/app/services/appearance/color-scheme.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/app/services/dialog/base-dialog.service.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
"/home/raphael/Projects/dopamine/src/app/services/dialog/dialog.service.ts", "TypeScript", 0, 0, 27, 0, 0, 0, 0, 0, 0, 7, 34
"/home/raphael/Projects/dopamine/src/app/services/electron.service.ts", "TypeScript", 0, 0, 24, 0, 0, 0, 0, 0, 3, 7, 34
"/home/raphael/Projects/dopamine/src/app/services/folder/base-folder.service.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"/home/raphael/Projects/dopamine/src/app/services/folder/folder.service.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 5, 37
"/home/raphael/Projects/dopamine/src/app/services/indexing/base-collection-checker.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/app/services/indexing/base-indexable-path-fetcher.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 2, 6
"/home/raphael/Projects/dopamine/src/app/services/indexing/base-indexing.service.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/app/services/indexing/collection-checker.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 10, 49
"/home/raphael/Projects/dopamine/src/app/services/indexing/collection-indexer.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"/home/raphael/Projects/dopamine/src/app/services/indexing/directory-walk-result.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/app/services/indexing/directory-walker.ts", "TypeScript", 0, 0, 51, 0, 0, 0, 0, 0, 2, 11, 64
"/home/raphael/Projects/dopamine/src/app/services/indexing/indexable-path-fetcher.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 0, 12, 87
"/home/raphael/Projects/dopamine/src/app/services/indexing/indexable-path.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/app/services/indexing/indexing.service.ts", "TypeScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 7, 36
"/home/raphael/Projects/dopamine/src/app/services/indexing/track-remover.ts", "TypeScript", 0, 0, 57, 0, 0, 0, 0, 0, 0, 12, 69
"/home/raphael/Projects/dopamine/src/app/services/indexing/track-updater.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 8, 38
"/home/raphael/Projects/dopamine/src/app/services/snack-bar/base-snack-bar.service.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/app/services/snack-bar/snack-bar.service.ts", "TypeScript", 0, 0, 35, 0, 0, 0, 0, 0, 3, 9, 47
"/home/raphael/Projects/dopamine/src/app/services/translator/base-translator.service.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"/home/raphael/Projects/dopamine/src/app/services/translator/translator.service.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 7, 37
"/home/raphael/Projects/dopamine/src/app/services/update/base-update.service.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/app/services/update/github-api.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 4, 18
"/home/raphael/Projects/dopamine/src/app/services/update/update.service.ts", "TypeScript", 0, 0, 48, 0, 0, 0, 0, 0, 0, 5, 53
"/home/raphael/Projects/dopamine/src/app/services/update/version-comparer.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 0, 5, 22
"/home/raphael/Projects/dopamine/src/assets/i18n/en.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"/home/raphael/Projects/dopamine/src/assets/i18n/fr.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"/home/raphael/Projects/dopamine/src/assets/i18n/nl.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63
"/home/raphael/Projects/dopamine/src/assets/images/headphone_256x256.svg", "XML", 0, 0, 0, 0, 0, 0, 167, 0, 1, 2, 170
"/home/raphael/Projects/dopamine/src/assets/images/logo_nobg_256x256.svg", "XML", 0, 0, 0, 0, 0, 0, 250, 0, 0, 1, 251
"/home/raphael/Projects/dopamine/src/css/custom-classes.scss", "SCSS", 0, 0, 0, 0, 0, 30, 0, 0, 0, 9, 39
"/home/raphael/Projects/dopamine/src/css/custom-mat-themes.scss", "SCSS", 0, 0, 0, 0, 0, 128, 0, 0, 36, 9, 173
"/home/raphael/Projects/dopamine/src/css/elements.scss", "SCSS", 0, 0, 0, 0, 0, 46, 0, 0, 0, 11, 57
"/home/raphael/Projects/dopamine/src/css/font-faces.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 0, 0, 2, 15
"/home/raphael/Projects/dopamine/src/css/mat-dialog.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/raphael/Projects/dopamine/src/css/mat-input.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 5, 4, 12
"/home/raphael/Projects/dopamine/src/css/mat-raised-button.scss", "SCSS", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/home/raphael/Projects/dopamine/src/css/mat-snackbar.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 0, 3, 11
"/home/raphael/Projects/dopamine/src/css/mat-tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"/home/raphael/Projects/dopamine/src/css/scrollbar.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"/home/raphael/Projects/dopamine/src/css/spacing.scss", "SCSS", 0, 0, 0, 0, 0, 184, 0, 0, 2, 55, 241
"/home/raphael/Projects/dopamine/src/css/theming.scss", "SCSS", 0, 0, 0, 0, 0, 47, 0, 0, 0, 7, 54
"/home/raphael/Projects/dopamine/src/css/transparent-button.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/raphael/Projects/dopamine/src/css/variables.scss", "SCSS", 0, 0, 0, 0, 0, 12, 0, 0, 4, 2, 18
"/home/raphael/Projects/dopamine/src/css/window-buttons.scss", "SCSS", 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/home/raphael/Projects/dopamine/src/css/window-frame.scss", "SCSS", 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"/home/raphael/Projects/dopamine/src/environments/environment.dev.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"/home/raphael/Projects/dopamine/src/environments/environment.prod.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/environments/environment.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/raphael/Projects/dopamine/src/index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 0, 0, 2, 15
"/home/raphael/Projects/dopamine/src/main.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"/home/raphael/Projects/dopamine/src/polyfills-test.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 2, 4
"/home/raphael/Projects/dopamine/src/polyfills.ts", "TypeScript", 0, 0, 1, 0, 0, 0, 0, 0, 55, 8, 64
"/home/raphael/Projects/dopamine/src/spec/000-spec-template.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 3, 4, 15
"/home/raphael/Projects/dopamine/src/spec/add-folder.component.spec.ts", "TypeScript", 0, 0, 358, 0, 0, 0, 0, 0, 60, 90, 508
"/home/raphael/Projects/dopamine/src/spec/collection-checker.spec.ts", "TypeScript", 0, 0, 106, 0, 0, 0, 0, 0, 15, 31, 152
"/home/raphael/Projects/dopamine/src/spec/collection-indexer.spec.ts", "TypeScript", 0, 0, 38, 0, 0, 0, 0, 0, 9, 10, 57
"/home/raphael/Projects/dopamine/src/spec/color-scheme-switcher.component.spec.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 3, 4, 24
"/home/raphael/Projects/dopamine/src/spec/color-scheme.spec.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 12, 9, 44
"/home/raphael/Projects/dopamine/src/spec/directory-walk-result.spec.ts", "TypeScript", 0, 0, 39, 0, 0, 0, 0, 0, 6, 11, 56
"/home/raphael/Projects/dopamine/src/spec/directory-walker.spec.ts", "TypeScript", 0, 0, 173, 0, 0, 0, 0, 0, 12, 57, 242
"/home/raphael/Projects/dopamine/src/spec/folder.service.spec.ts", "TypeScript", 0, 0, 75, 0, 0, 0, 0, 0, 15, 20, 110
"/home/raphael/Projects/dopamine/src/spec/folder.spec.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 3, 3, 17
"/home/raphael/Projects/dopamine/src/spec/font-size.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 9, 7, 35
"/home/raphael/Projects/dopamine/src/spec/indexable-path-fetcher.spec.ts", "TypeScript", 0, 0, 120, 0, 0, 0, 0, 0, 6, 31, 157
"/home/raphael/Projects/dopamine/src/spec/indexable-path.spec.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 9, 7, 35
"/home/raphael/Projects/dopamine/src/spec/indexing.service.spec.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 6, 11, 53
"/home/raphael/Projects/dopamine/src/spec/loading.component.spec.ts", "TypeScript", 0, 0, 63, 0, 0, 0, 0, 0, 12, 17, 92
